COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,3.1,1000810,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000837,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000850,2009-09-10,2017-12-14,SIN_CONT,,
VR,,1000851,2009-09-10,2015-02-11,SIN_CONT,,
VR,0,1000860,2009-09-10,2019-04-05,SIN_CONT,1.0,3.0
VR,,1000862,2009-09-10,2017-08-21,SIN_CONT,,
VR,2.2,1000867,2009-09-10,,SIN_CONT,1.0,3.0
VR,2.2,1000876,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000891,2009-09-10,2012-01-02,SIN_CONT,,
VR,3.2.1,1000892,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000894,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000897,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000900,2009-09-10,2016-11-21,SIN_CONT,,
VR,,1000902,2009-09-10,2013-04-30,SIN_CONT,,
VR,,1000906,2009-09-10,2013-06-30,SIN_CONT,,
VR,3.2.1,1000911,2009-09-10,2019-12-31,SIN_CONT,1.0,3.0
VR,3.2.1,1000926,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000929,2009-09-10,,SIN_CONT,1.0,3.0
VR,2.2,1000930,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1001002,2009-09-10,2021-08-31,SIN_CONT,1.0,3.0
VR,3,1001061,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2,1001062,2009-09-10,2020-12-31,SIN_CONT,1.0,3.0
VR,2,1001092,2009-09-10,2021-04-30,SIN_CONT,1.0,3.0
VR,2,1001100,2009-09-10,,SIN_CONT,1.0,3.0
VR,2,1001104,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1001106,2009-09-10,2011-11-01,SIN_CONT,,
VR,3.1,1001141,2009-09-10,2021-10-31,SIN_CONT,1.0,3.0
VR,,1001142,2009-09-10,2011-11-01,SIN_CONT,,
VR,,1001147,2009-09-10,2011-02-01,SIN_CONT,,
VR,,1001186,2009-09-10,2011-06-01,SIN_CONT,,
VR,2.2,1001225,2009-09-10,,SIN_CONT,1.0,3.0
VR,3,1001226,2009-09-10,,SIN_CONT,1.0,3.0
VR,3,1001227,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1001228,2009-09-10,2013-11-01,SIN_CONT,,
VR,3.2,1001229,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2,1001231,2009-08-28,,CONT,1.0,3.0
VR,2,1001232,2009-08-10,,CONT,1.0,3.0
VR,3.2,1001233,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001234,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001236,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001237,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001238,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001240,2009-08-28,2021-08-31,SIN_CONT,1.0,3.0
VR,3.2,1001241,2009-08-28,,CONT,1.0,3.0
VR,3.2,1001242,2009-08-28,,CONT,1.0,3.0
VR,,1001243,2009-09-02,2015-04-30,CONT,,
VR,2.2,1001244,2009-09-10,,CONT,1.0,3.0
VR,3.2.1,1001245,2009-09-08,,CONT,1.0,3.0
VR,2.2,1001246,2009-09-08,,CONT,1.0,3.0
VR,3.2,1001247,2009-08-30,,CONT,1.0,3.0
VR,2.2,1001248,2009-09-08,,CONT,1.0,3.0
VR,2.2,1001250,2009-09-02,,CONT,1.0,3.0
VR,2.2,1001251,2009-09-04,,CONT,1.0,3.0
