wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,locations
164.29,15.6,22.5,14.6,20.8,2021-04-01T00:00:00+02:00,20.3,,36.8,9.1,1617235200000,0.0,402.5,Mist,0.0,1014.7,0.0,3.7,45.99,0.0,35.3,Partially cloudy,7.1,,"39.2210171,-3.6185337"
256.63,14.6,18.3,14.2,24.6,2021-04-02T00:00:00+02:00,14.5,,51.2,11.0,1617321600000,3.6,288.6,"Drizzle, Mist, Light Drizzle, Heavy Drizzle/Rain",0.0,1016.0,0.0,8.3,67.48,8.33,,"Rain, Partially cloudy",,,"39.2210171,-3.6185337"
246.83,12.6,17.6,14.7,15.1,2021-04-03T00:00:00+02:00,13.0,,63.9,10.2,1617408000000,13.2,257.9,"Lightning Without Thunder, Mist, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",0.0,1013.9,0.0,9.2,80.62,12.5,,"Rain, Partially cloudy",,,"39.2210171,-3.6185337"
149.0,13.0,20.9,12.3,6.5,2021-04-04T00:00:00+02:00,22.9,,30.5,4.6,1617494400000,0.0,455.1,Mist,0.0,1014.5,0.0,6.8,71.38,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
130.96,14.0,21.9,12.4,7.1,2021-04-05T00:00:00+02:00,23.7,,31.1,4.4,1617580800000,0.0,469.6,Mist,0.0,1016.8,0.0,5.5,63.8,0.0,,Partially cloudy,8.7,,"39.2210171,-3.6185337"
262.71,16.1,23.2,14.9,17.7,2021-04-06T00:00:00+02:00,23.4,,26.7,6.2,1617667200000,0.0,463.6,Mist,0.0,1013.6,0.0,3.1,46.57,0.0,38.9,Partially cloudy,,,"39.2210171,-3.6185337"
110.04,15.1,22.2,14.5,17.2,2021-04-07T00:00:00+02:00,21.8,,26.4,5.5,1617753600000,0.0,431.8,Mist,0.0,1014.6,0.0,2.7,46.05,0.0,,Partially cloudy,4.7,,"39.2210171,-3.6185337"
57.63,13.8,19.2,14.6,14.8,2021-04-08T00:00:00+02:00,13.5,,76.6,10.0,1617840000000,0.0,266.9,,0.0,1019.7,0.0,7.7,68.05,0.0,,Overcast,,,"39.2210171,-3.6185337"
127.67,13.6,19.0,14.8,9.4,2021-04-09T00:00:00+02:00,16.2,,59.8,9.3,1617926400000,0.0,321.2,"Mist, Rain",0.0,1016.6,0.0,7.0,65.64,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
155.75,13.2,19.0,13.8,15.5,2021-04-10T00:00:00+02:00,16.0,,51.2,8.2,1618012800000,0.4,318.4,"Lightning Without Thunder, Mist, Rain, Thunderstorm, Heavy Rain",0.0,1013.2,0.0,8.9,76.59,8.33,,"Rain, Partially cloudy",8.4,,"39.2210171,-3.6185337"
252.38,13.9,18.2,15.1,18.4,2021-04-11T00:00:00+02:00,16.5,,61.1,10.2,1618099200000,7.8,328.0,"Drizzle, Lightning Without Thunder, Mist, Rain, Light Rain",0.0,1014.1,0.0,9.7,76.89,12.5,,"Rain, Partially cloudy",,,"39.2210171,-3.6185337"
60.71,13.0,18.2,14.5,18.8,2021-04-12T00:00:00+02:00,23.1,,35.7,7.0,1618185600000,0.2,459.1,"Drizzle, Mist, Light Drizzle, Sky Coverage Increasing",0.0,1021.8,0.0,7.1,69.99,4.17,,"Rain, Partially cloudy",5.4,,"39.2210171,-3.6185337"
146.29,15.5,20.3,14.7,9.4,2021-04-13T00:00:00+02:00,16.4,,46.3,9.1,1618272000000,0.0,324.4,"Mist, Rain, Sky Coverage Increasing, Sky Unchanged",0.0,1020.3,0.0,8.7,65.61,0.0,,Partially cloudy,8.1,,"39.2210171,-3.6185337"
81.5,14.3,19.4,14.7,14.8,2021-04-14T00:00:00+02:00,11.8,,52.2,10.2,1618358400000,0.0,234.1,"Light Drizzle, Rain",0.0,1015.9,0.0,9.8,75.12,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
