Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-04 14:30:00+00:00,LS Urda,0.3887651,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 14:45:00+00:00,LS Urda,0.32656682,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 15:00:00+00:00,LS Urda,0.39812633,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 15:15:00+00:00,LS Urda,0.29895023,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 15:30:00+00:00,LS Urda,0.34519464,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 15:45:00+00:00,LS Urda,0.28388548,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 16:00:00+00:00,LS Urda,0.28843316,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 16:15:00+00:00,LS Urda,0.25495467,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 16:30:00+00:00,LS Urda,0.2567271,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 16:45:00+00:00,LS Urda,0.2542236,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 17:00:00+00:00,LS Urda,0.25919333,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 17:15:00+00:00,LS Urda,0.20055921,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 17:30:00+00:00,LS Urda,0.25512224,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 17:45:00+00:00,LS Urda,0.24947068,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 18:00:00+00:00,LS Urda,0.25223964,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 18:15:00+00:00,LS Urda,0.25062117,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 18:30:00+00:00,LS Urda,0.28767318,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 18:45:00+00:00,LS Urda,0.292281,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 19:00:00+00:00,LS Urda,0.2928052,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 19:15:00+00:00,LS Urda,0.27930433,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 19:30:00+00:00,LS Urda,0.2787784,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 19:45:00+00:00,LS Urda,0.2781142,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 20:00:00+00:00,LS Urda,0.28953928,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 20:15:00+00:00,LS Urda,0.28439257,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 20:30:00+00:00,LS Urda,0.2567271,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 20:45:00+00:00,LS Urda,0.25848746,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 21:00:00+00:00,LS Urda,0.28952459,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 21:15:00+00:00,LS Urda,0.2911238,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 21:30:00+00:00,LS Urda,0.25529006,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 21:45:00+00:00,LS Urda,0.25899175,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 22:00:00+00:00,LS Urda,0.27035734,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 22:15:00+00:00,LS Urda,0.2928052,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 22:30:00+00:00,LS Urda,0.28370523,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 22:45:00+00:00,LS Urda,0.271754,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 23:00:00+00:00,LS Urda,0.26220927,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 23:15:00+00:00,LS Urda,0.23207958,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 23:30:00+00:00,LS Urda,0.14292979,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 23:45:00+00:00,LS Urda,0.13164012,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 00:00:00+00:00,LS Urda,0.12805097,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 00:15:00+00:00,LS Urda,0.13445131,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 00:30:00+00:00,LS Urda,0.121300496,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 00:45:00+00:00,LS Urda,0.13877466,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 01:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 01:15:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 01:30:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 01:45:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 02:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 02:15:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 02:30:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 02:45:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 03:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 03:15:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 03:30:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 03:45:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 04:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 04:15:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 04:30:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 04:45:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 05:00:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 05:15:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-05 05:30:00+00:00,LS Urda,0.13343234,11000 Carretera Urda,22110000
